,station,sample,core,cruise,time,year,month,day,hour,x,y,y_adj,temperature,depth,grain_phi,grain_mm,grain_slope,mud_percent,vf_sand_percent,f_sand_percent,m_sand_percent,c_sand_percent,vc_sand_percent,vf_pebbles_percent,f_pebbles_percent,pebbles_percent,tom_proportion,shear_stress,vms_ospar,seq_depth
B01,DB_11,DB_11,b,HE538,T01:02:31,2019,7,31,1,3.67509,55.64574,55.64574,13,38.98922622,2.533474909,172.7221595,3.224768032,3.127639633,8.088124689,79.66629254,7.997870937,0.517223424,0.268447057,0.334401722,0,0,0.005,0.2581,0.296273678,18916
B02,DB_12,DB_12,b,HE538,T02:04:12,2019,7,31,2,3.78002,55.69845,55.69845,13,41.36432764,2.423234912,186.4376435,2.410112782,2.341966855,8.345737819,75.98094671,10.21534187,0.715490721,0.589461149,1.811054877,0,0,0.0052,0.2326,0.251060797,15771
B03,DB_06,DB_06,b,HE538,T03:08:14,2019,7,31,3,3.89084,55.75449,55.75449,14,40.9266611,2.515515631,174.8857165,3.488602425,2.726653033,7.770961145,78.62596163,10.2726653,0.388548057,0.115882754,0.099328075,0,0,0.0031,0.2302,0.287439388,19344
B04,DB_20,DB_20,b,HE538,T07:00:50,2019,7,31,7,3.75861,55.61117,55.61117,13,37.61018967,2.019765519,246.5982524,3.058775324,0.134358438,2.015376577,52.61625737,42.12883481,1.84369635,0.634470404,0.627006046,0,0,0.003575983,0.2667,0.289093064,23066
B05,DB_22,DB_22,b,HE538,T08:38:23,2019,7,31,9,3.85194,55.62483,55.62483,13,37.57250192,2.180266987,220.6349143,3.684051256,0.198082561,2.107598447,67.4273037,28.15941684,1.624276999,0.3248554,0.158466049,0,0,0.003972453,0.2691,0.433360214,41842
B06,DB_13,DB_13,b,HE538,T10:19:44,2019,7,31,10,3.85447,55.6652,55.6652,13,39.11107154,2.371536481,193.2397128,3.137602977,2.549361988,4.686366689,72.69442579,18.50235057,1.24110141,0.192075218,0.134318334,0,0,0.0041,0.2532,0.316940698,12467
B07,DB_23,DB_23,b,HE538,T12:08:50,2019,7,31,12,3.9425,55.62548,55.62548,15,37.56778612,2.383685283,191.6192912,2.76462516,2.401006874,6.457546713,72.17058767,17.3317843,0.518927292,0.194597735,0.925549424,0,0,0.015979475,0.271,0.393766406,4294
B08,DB_14,DB_14,b,HE538,T13:48:17,2019,7,31,14,3.9672,55.67063,55.67063,14,39.51915456,1.888605404,270.067997,2.948643045,0.100458341,1.16154957,42.50643561,52.50204056,1.563382935,1.450367301,0.715765681,0,0,0.005581917,0.253,0.285406137,7053
B09,DB_15,DB_15,b,HE538,T15:18:38,2019,7,31,15,4.01393,55.70004,55.70004,15,40.87963396,2.312176427,201.3564473,3.442267405,0.974342319,2.04611887,78.6554076,16.40142904,1.052289704,0.298798311,0.57161416,0,0,0.00461507,0.2362,0.302524725,12760
B10,DB_16,DB_16,b,HE538,T17:08:09,2019,7,31,17,4.10604,55.7131,55.7131,14,42.63873764,2.267749232,207.653597,3.163684454,0.255000398,3.155629931,75.4243366,18.43971631,1.187345605,0.84468882,0.693282333,0,0,0.004391417,0.222,0.345313397,14424
B11,DB_07,DB_07,b,HE538,T18:52:36,2019,7,31,19,4.01529,55.759,55.759,14,38.69276901,0.530115562,692.4992616,1.65545404,1.227830832,0.373375458,1.895598478,37.96007755,21.01026783,30.34752639,7.185323472,0,0,0.0052,0.2579,0.220621321,20652
B12,DB_08,DB_08,b,HE538,T20:38:47,2019,7,31,21,4.07052,55.75608,55.75608,14,37.89739884,2.059255886,239.9397542,3.513520123,0.272078829,1.161850136,56.01882491,40.92212663,0.90447827,0.308846239,0.411794985,0,0,0.005018513,0.2665,0.243205464,20964
B13,DB_09,DB_09,b,HE538,T21:30:40,2019,7,31,22,4.13677,55.77792,55.77792,14,38.7749512,1.86538222,274.4504823,2.714191126,0.00896861,0.852017937,44.27802691,49.05829596,2.565022422,2.565022422,0.67264574,0,0,0.003891821,0.2548,0.314554257,35391
B14,DB_10,DB_10,b,HE538,T22:33:30,2019,7,31,23,4.23814,55.75859,55.75859,15,36.8002003,2.062151942,239.4585839,3.522749931,0.224215247,1.337817638,56.29297459,40.20926756,1.263079223,0.358744395,0.313901345,0,0,0.004673295,0.2793,0.482606141,6752
B15,DB_18,DB_18,b,HE538,T23:48:02,2019,7,31,24,4.30768,55.70674,55.70674,16,34.44994528,2.083996298,235.8601679,3.006599036,0,1.665357423,61.89316575,32.20738413,2.223095051,1.7282011,0.282796544,0,0,0.004831468,0.3035,0.697136871,19650
